2023-11-29 00:02:48.460299,2023-11-29 00:03:12.461703,24.001404,X,human,O,computer,X,Human
2023-11-29 00:03:38.262888,2023-11-29 00:04:15.356529,37.093641,X,human,O,human,X,Human
2023-11-29 00:04:35.682610,2023-11-29 00:05:06.733579,31.050969,X,human,O,computer,O,Computer
2023-11-29 00:05:23.057161,2023-11-29 00:06:31.739543,68.682382,X,human,O,human,X,Human
2023-11-29 00:06:46.091475,2023-11-29 00:07:35.468413,49.376938,X,human,O,human,X,Human
2023-11-29 00:07:50.688182,2023-11-29 00:08:23.544095,32.855913,X,human,O,human,X,Human
2023-11-29 00:08:46.282050,2023-11-29 00:09:23.280502,36.998452,X,human,O,human,X,Human
2023-11-29 00:11:06.091907,2023-11-29 00:12:28.849022,82.757115,X,human,O,human,,Draw
2023-11-29 00:13:37.455628,2023-11-29 00:14:19.634393,42.178765,X,human,O,computer,X,Human
2023-11-29 00:18:21.962584,2023-11-29 00:20:23.184886,121.222302,X,human,O,computer,X,Human
2023-11-29 00:20:32.605344,2023-11-29 00:21:17.610171,45.004827,X,human,O,computer,,Draw
